id,username,email,password,role,clinic_id,date_joined,last_login
1,super_admin,admin@healthcare.ai,pbkdf2_sha256$1200000$YLwu3X3jcSsc2jADLORgN0$b9L8TS1T44pHQRxbtjL+bmLcb8lcW3eXLgv+Av+WMww=,ADMIN,,2025-06-22 15:33:32,2026-04-05 15:33:32
2,clinic_001,clinic1@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,1,2024-12-02 15:33:32,2026-04-01 15:33:32
3,clinic_002,clinic2@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,2,2025-03-13 15:33:32,2026-04-14 15:33:32
4,clinic_003,clinic3@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,3,2024-05-19 15:33:32,2026-03-23 15:33:32
5,clinic_004,clinic4@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,4,2024-02-17 15:33:32,2026-03-31 15:33:32
6,clinic_005,clinic5@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,5,2025-02-15 15:33:32,2026-04-03 15:33:32
7,clinic_006,clinic6@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,6,2025-12-17 15:33:32,2026-03-23 15:33:32
8,clinic_007,clinic7@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,7,2024-05-16 15:33:32,2026-03-27 15:33:32
9,clinic_008,clinic8@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,8,2025-07-30 15:33:32,2026-03-29 15:33:32
10,clinic_009,clinic9@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,9,2025-02-20 15:33:32,2026-03-25 15:33:32
11,clinic_010,clinic10@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,10,2024-10-21 15:33:32,2026-03-29 15:33:32
12,clinic_011,clinic11@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,11,2024-07-05 15:33:32,2026-04-08 15:33:32
13,clinic_012,clinic12@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,12,2024-05-16 15:33:32,2026-04-14 15:33:32
14,clinic_013,clinic13@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,13,2025-01-03 15:33:32,2026-03-23 15:33:32
15,clinic_014,clinic14@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,14,2024-03-24 15:33:32,2026-04-14 15:33:32
16,clinic_015,clinic15@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,15,2024-02-15 15:33:32,2026-04-13 15:33:32
